火锅店橱窗内老鼠淡定啃食牛肉 市监局：已查封停业,火锅店橱窗内老鼠淡定啃食牛肉 市监局：已查封停业来源：广东广播电视台近日，广东省汕头市一火锅店内，老鼠吃牛肉的两段视频在网上广泛流传。从网友提供的视频可见，火锅店的橱窗内，有两只老鼠正在悠闲地啃食牛肉，看到有人驻足拍照也不怕，甚至还站立起来，啃得津津有味。执法人员随后对该店进行检查，现场发现，该牛肉店存在防鼠设施不全、有鼠迹、厨房脏乱等食品卫生问题。目前，执法人员已依法立案，对该火锅店采取查封强制措施，责令其停业整顿。案件仍在进一步调查处理中。责任编辑：阮璐阳
8批次太阳镜质检不合格 博柏利、DIOR等品牌在列,原标题：8批次太阳镜质检不合格 博柏利、DIOR等品牌在列新京报讯（记者张泽炎）12月3日，上海市市场监管局发布公告称，对浦东国金中心、正大广场、静安恒隆广场、徐汇恒隆广场、青浦奥特莱斯等商圈36家企业销售的40个品牌40批次太阳镜进行了质量抽检和市场检查。经检测，有8批次不合格，不合格检出率为20.0%，比去年上升了4个百分点。记者注意到，博柏利（Burberry）、H&M、ZARA、MICHAEL KORS、DIOR等品牌上了“黑榜”。上海市市场监管局表示，抽检进口奢侈品牌23批次，有6批次不合格，不合格检出率为26.1%；抽检国产品牌17批次，有2批次不合格，不合格检出率为11.8%。太阳镜不合格项目主要是镜架要求（抗汗腐蚀）、可见光透射比、光透射比相对偏差和标志4个项目。与去年抽检情况相比，可见光透射比、抗汗腐蚀和标志不合格情况依然存在。具体来看，海恩斯莫里斯（上海）商业有限公司黄浦第二分公司销售的标称由海恩斯莫里斯（上海）商业有限公司生产（或供货）的“H&M”牌遮阳镜（型号规格：均匀色/349937），被检出同时存在抗汗腐蚀、可见光透射比两项指标不合格。其中，抗汗腐蚀实测镜圈下缘有腐蚀点和变色（标准要求应无腐蚀点或变色，镀层不锈蚀、剥蚀或脱落），与标准要求不符。抗汗腐蚀不合格，一方面容易出现镜架褪色、镀层剥落等问题，另一方面镜架中的镍、铅等重金属析出，可能引起皮肤过敏。此外，博柏利（上海）贸易有限公司第六分公司在港汇恒隆广场销售的、标称由博柏利（上海）贸易有限公司生产（或供货）的“博柏利”牌太阳镜（型号规格：均匀色/B4277-F；生产日期或批号：4080391），可见光透射比企业明示为遮阳镜2类（18＜tv≤43），实测为右12.8、左13.0，未达到2类标准要求。迈克尔高司商贸（上海）有限公司浦东分公司在上海国金中心商场销售的、江苏东方光学有限公司上海分公司生产的（或供货）MICHAEL KORS迈克尔高司牌太阳镜（均匀色/10245A）被检出可见光透比不合格。飒拉商业（上海）有限公司销售的标称由其生产（或供货）的“ZARA”牌太阳镜（型号规格：均匀色/02727/012/250/039），光透射比相对偏差实测23.7（标准值应≤15），与标准要求不符。光透射比相对偏差不合格，左右眼进光量差异较大，容易发生视觉疲劳，影响视力健康。Christian Dior、菲拉格慕、MASSIMO DUTTI、LONGCHAMP、ZARA品牌在内的5批次产品存在标志不合格问题。据抽检结果，市场监管部门已责令相关经营者立即停止销售不合格商品，对库存商品、在售商品进行全面清理，督促公示的不合格商品经营者按照相关法律法规的要求主动采取措施，并依法对销售不合格商品的经营者调查处理。新京报记者 张泽炎责任编辑：赵慧芳
香港航空称将获注资 明日支付拖欠员工工资,新浪美股讯 北京时间4日消息，陷入困境的香港航空公司周三表示，已制定了一项初步的注入现金计划，并将于周四支付拖欠的员工薪水，但没有提供其现金注入计划的更多详细信息。此前香港监管机构要求该公司必须在12月7日前改善财务状况，否则可能被暂停或吊销营业执照。这家由海航集团控股的香港第二大航空公司在一份电邮声明中表示，一旦资金到位就将逐渐恢复正常运营。该航空公司上周曾表示，将推迟支付部分员工的薪水，并在明年削减更多航班。责任编辑：于健 SF069
市场监管总局详解 涉企经营许可事项清单管理制度,原标题：涉企经营许可事项清单管理制度为何？市场监管总局详解中新网12月4日电 涉企经营许可事项清单管理制度具体内容为何？针对此，市场监管总局登记注册局局长熊茂平4日予以了解释。国务院政策例行吹风会4日举行，介绍在自由贸易试验区开展“证照分离”改革全覆盖试点有关情况。有记者提问：在全国自贸试验区开展“证照分离”改革全覆盖试点，同时也建立了涉企经营许可事项清单管理制度，这项制度的具体内容为何？对此，熊茂平指出，通过清单管理实现对所有涉企经营许可事项全覆盖，清单以外一律不得违规限制企业进入特定行业或领域开展经营，营造稳定公平透明、可预期的市场准入环境。清单管理制度主要包括以下三个方面内容：一是涉企经营许可事项全部纳入清单管理。锁定涉企经营许可事项的范围，全部纳入清单。完善清单要素，对涉企经营许可事项逐项列明事项名称、设定依据、审批层级和部门，明确改革方式、具体改革举措、事中事后监管措施。清单向社会公开，并接受社会监督。二是清单内容定期调整。“证照分离”改革是一项长期工作，需要不断对涉企经营许可事项的改革方式、改革举措、事中事后监管措施等进行优化。法律法规也会根据实际情况不断进行立改废释。因此，对清单定期进行调整更新十分必要。三是清单实行分级管理。清单按照中央、省两级进行管理。中央层面设定的清单，由国务院审改办负责管理；地方层面设定的清单，由省级政府指定部门负责管理，以省为单位集中公布。责任编辑：蒋晓桐
美国再挥关税大棒 巴西官员：害人害己！,原标题：美国再挥关税大棒 巴西官员：害人害己！美国政府2日表示，美国将立即“恢复”对从巴西和阿根廷进口的钢铝产品加征关税。对于美国的关税威胁，巴西圣保罗州州长指出，美国的单边政策不利于双边关系的发展，只会带来伤害和担忧。巴西圣保罗州州长 若昂·多利亚：这是（美国）单方面强加的政策，而这种霸道的单边政策，对全球任何一种双边关系、经贸往来从来都不可能是积极的，它只会带来伤害和担忧。我呼吁通过对话协商来解决贸易分歧，只有这样，双边交往才有效，否则单边主义横行，就是一方强加政策，而另一方饱受折磨。巴西圣保罗州国际关系厅厅长 儒利奥·塞尔逊：在当下这样一个日益开放，竞争日益激烈的全球环境下，加征关税对巴西而言显然不是一件好事。我们希望该政策不会生效，或美方能撤回相关决定，因为这对于美国自己也没有任何好处，它也将破坏美国自身经济，它会使得相关商品价格升高，最终受到影响和买单的是美国自己的消费者。责任编辑：霍琦
中国电信回应六六投诉:已沟通解决 感谢继续使用业务,新浪科技讯 12月4日下午消息，针对作家六六投诉一事，中国电信方面回应称，已沟通解决，对由此带来的不便表示歉意。作家六六近日在微博上向投诉@中国电信，称存在霸王条款。根据她的描述，自己在购买中国电信的家庭宽带时，被强迫拿一部免费送十几个G流量的手机，但每个月不用完流量反而要扣款。在宽带年费一次缴纳完的情况下，经常因赠送手机流量没用完被停家庭宽带，甚至续费后也不即时开通。中国电信方面回应称，六六微博反映的问题已经沟通解决，对带来的不便表示歉意。中国电信还称，感谢机主继续使用中国电信业务，欢迎继续对服务提意见与建议。（张俊）以下为中国电信回应全文：对六六女士微博所反映的问题，我们已与机主取得联系，进行沟通并解决了问题。由此带来的不便，我们表示歉意。感谢机主继续使用我们的业务，欢迎继续对我们的服务提意见与建议。责任编辑：蒋晓桐
墨西哥对我国钢缆启动反倾销日落复审调查,原标题：墨西哥对我钢缆启动反倾销日落复审调查2019年12月2日，墨西哥经济部发布公告，应墨西哥Camesa公司和Deacero公司申请，对原产于中国的钢缆启动反倾销日落复审调查。涉案产品墨西哥海关税号为7312.10.01、7312.10.05、7312.10.07和7312.10.99。本案倾销调查期为2018年7月1日至2019年6月30日，损害调查期为2014年7月1日至2019年6月30日。所有利害关系方需在公告发布后第28个工作日的14：00前，根据调查机关要求提交完整填写的答卷、评论和相关证据。复审期间原反倾销措施有效。案件立案公告详见以下链接：http://www.contactopyme.gob.mx/upci/paginas/3263.pdf调查问卷可在墨经济部网站下载：http://www.gob.mx/se/acciones-y-programas/industria-y-comercio-unidad-de-practicas-comerciales-internacionales-upci?state=published应诉材料请递交至墨调查机关：Av． Insurgentes Sur 1940， Col． Florida， C.P.01030。责任编辑：鲍一凡
加拿大央行今晚迎来年内收官决议,原标题：加拿大央行今晚迎来年内收官决议！加元能否守稳最强货币宝座？来源：环球外汇网据彭博社报道。加元今年开局伊始便表现强劲，并一路维系强势至今。不过随着市场对明年加拿大央行降息的猜测逐渐浮出水面，未来可能会掀起一场风暴。今晚，加拿大央行将宣布年内最后的一次利率决议，交易员们将密切关注有关加拿大经济前景以及央行明年利率走向的每一个字句和细微差别。作为今年少数几个没有放松货币政策的央行之一，加拿大央行行长波洛兹（Stephen Poloz）是否很快将被迫效仿其他央行降息，已成为投资者面临的最大悬念。伴随着强劲的经济增长，加元成为了年内迄今涨幅最大的主要货币。在10月份时，波洛兹曾承认他和他的同事曾考虑过降息，但最终决定不降息，因为通胀率已达到目标水平，而降息将推高家庭债务水平。时间快进到上周，加拿大第三季度国内生产总值（GDP）数据显示，该国经济可能如同人们预期般出现放缓，原因是出口下降和企业库存下降掩盖了国内需求的反弹。期货交易员的定价没有反映出利率的变化，因此如果加拿大央行今晚采取更鸽派的措辞基调，加元可能会受到冲击。而考虑到贸易层面的僵局不会很快结束，在经济增长乏力、油价前景不确定的情况下，这种不确定性也可能限制加元的升势。目前，摩根大通（JPMorgan Chase & Co）策略师预计加元明年将走软，而高盛表示加元仍将维持区间波动。以Zach Pandl为首的高盛策略师在11月29日的报告中写道，美元兑加元汇率“将继续夹在谨慎的全球风险情绪和良好的国内增长前景之间摇摆”。他们说，“直到有一个更清晰的信号出现”。今年，拥有G7经济体中最高的收益率优势支撑了加元，因加拿大央行不愿像美联储和欧洲央行那样放松政策。就在周二，加拿大两年期国债收益率还超过了美国两年期国债收益率。不过，如果加拿大央行本周变得更加鸽派，这一息差优势可能会逆转。布朗兄弟哈里曼（Brown Brothers Harriman）策略团队在12月1日发送的一份报告中表示：“由于经济明显放缓，市场更倾向于利率将下行”，他们预计加元接下来将跑输美元。并暗示加元也容易受到油价下跌的影响。油价上周下跌了4.5%，是自10月4日以来的最大单周跌幅。根据美国商品期货交易委员会（CFTC）截至11月26日当周的数据，对冲基金和投机者对加元的信心已有所减弱，上周他们的看涨头寸降至10月中旬以来的最低水平，原因是经济增长出现放缓迹象。加拿大统计局的数据显示，第三季度加拿大经济增长1.3%，符合预期，但仍远低于上一季度3.5%的年化增长率。尽管如此，那些对贸易持乐观态度的人还是依然偏向于看涨加元。加拿大丰业银行（Scotiabank）首席外汇策略师Shaun Osborne表示，他仍然看好加元。“这主要反映了我们的预期，即贸易紧张局势将有所缓和，美元的避险溢价将缩水，而加元则将受益于经济增长和加拿大与美国的利率趋同，”他说。责任编辑：刘玄逸
空头环绕！澳洲联储的下一步被指“无法想象”,行长在极力遏制，空头在不断集结。澳大利亚的资产管理公司正在为曾经无法想象的事情做准备——澳洲实行量化宽松（QE）。他们仔细研究了其他地区的经验，得出了与澳洲联储主席洛威（Philip Lowe）不同的结论：洛威试图抑制人们对量化宽松可能在澳大利亚实施的预期，但资金经理们却认为宽松政策在澳无可避免。包括昆士兰投资集团（QIC Ltd． ）和日本日兴资产管理有限公司（Nikko Asset Management Ltd．）在内的一些公司已经在购买资产，押注澳洲联储的降息幅度将不足以应对经济增长放缓。他们认为，即使洛威设法将量化宽松计划限制在政府债券范围内，但资产购买的影响还是会波及整个债务市场。QIC的全球流动性策略总经理苏珊·巴克利（Susan Buckley）表示：“量化宽松甚至可能在经济衰退之前就出台，我们必须准备迎接‘非常规的货币政策’，大家都在谈论量化宽松。”自6月以来，澳洲联储已三次降息，将利率降至0.75%的历史低点，但同时经济增速下滑至十年来的最低水平。洛威在11月26日的演讲中表示：在考虑实行QE之前，利率必须降到0.25%，而且即便如此，资产购买的障碍仍然很大。他还暗示，澳洲联储对购买私营部门资产的兴趣不大。但是，由于失业率过高，无法推动工资和消费价格的温和上涨，因此投资者预期洛威将被迫走出舒适区。当然，没有任何一个市场参与者能够确定澳洲的QE最终将在何时以及如何实施，也有机构持不同看法。例如高盛集团表示，房地产价格回升可能刺激与住房相关的消费反弹，帮助澳洲联储明年继续实行已有的非常规政策就够了。花旗则逆转其对2020年出台刺激政策的呼吁，预测澳洲联储只需再降息一次就可按兵不动。而巴克莱银行（Barclays Bank）却预计，随着澳大利亚经济走向“温和转折点”，不可能实施QE。不过，对于某些人来说，还是安全第一，有备无患。以下是一些基金经理为应对澳洲联储意外祭出QE所做的准备：做多债券骏利亨德森投资（Janus Henderson Investors）旗下管理着140亿澳元（约合96亿美元）的Kapstream Capital驻悉尼基金经理Raymond Lee表示，随着澳洲联储作为默认买家的介入，澳大利亚主权债券收益率可能会下跌。这使得政府债券成为该基金相当引人注目的一笔购入。Lee透露道：“我们在今年年初增加了贷款期限，因为我们认为利率将在更长时间内保持较低水平。虽然距离实施QE政策可能尚有时日，但澳洲联储对非常规货币政策的评价恰恰证实了利率将保持低位的事实。”摩根大通则表示，作为量化宽松方案的一部分，澳洲联储最早可能在明年购买高达500亿澳元的澳大利亚政府债券。施罗德投资管理（Schroder）固定收益副主管Stuart Dear也对澳大利亚主权债务持乐观态度。他预计，如果澳洲联储开始实施QE，那么5年期以下的债券将表现出色。押注半政府债券日兴资产从去年开始购买以美元计价的澳大利亚半政府债券，押注10年后到期的票据定价颇具吸引力。这已经是一笔有利可图的交易，因为半政府债券与主权债券的收益率差已经缩小。日兴资产的投资组合经理Rands表示：“我们可以从美国学习到经验。美联储购买了政府债券，同时其他资产也都得到了支持。澳大利亚的情况可能也一样，QE会给半政府债券带来额外的推动力。”施罗德的Stuart Dear也增持了半政府债券，他说：“我们通过购买半政府债券和住房抵押贷款支持债券，增加了风险敞口。这次购入是在洛威发表讲话之前进行的，他的讲话随后肯定了我们的观点。”增加信贷包括QIC的巴克利在内的其他人还指出，即使澳洲联储最初的重点是政府债券，其他澳大利亚的企业债也都在上涨。巴克利认为，非常规刺激措施可能会惠及整个债券市场。最重要的是，主权债可能被澳洲联储买到无债可卖。洛威本人也指出，预计未来几年政府债总量将下降。而这些主权债的最大持有者——国内银行和外国央行都是长期持有者，可能不会愿意大量出售。通常情况下，经济衰退或放缓带来的风险上升会使巴克利撤出部分信贷敞口，但这次QIC却采取了新的策略。巴克利表示：“当无风险利率降低，投资者会突破信贷限制，我们已经在英国、欧洲看到了类似情况。”做空澳元加拿大CI金融服务公司（CI Financial Group）旗下GSFM的顾问米勒（Stephen Miller）表示，对于那些寻求更具流动性的澳元量化宽松交易方式的人来说，做空澳元是最好的选择。米勒认为：“如果QE政策即将出台，澳元将会走弱。在应对QE时，做空澳元是个好选择。而现在，我认为澳元汇率可能会跌至0.65左右。”澳元兑美元今年已下跌3%左右，因交易员对新一轮降息定价，澳元兑美元10月触及10年来低点，跌至0.6671。澳大利亚最大的养老基金AustralianSuper Pty．管理着价值1750澳元的资产。该基金已减持了澳元并做多主权债券，押注澳洲联储最早可能在明年推出QE。该基金的资产配置与研究主管阿斯托里（Carl Astorri）称，央行可能会在不损害银行体系的情况下，将利率压至尽可能接近零的水平：“这一过程将使收益率曲线趋平，并使澳元承压下行。”来源：金十数据责任编辑：孟然
美国全国零售商联合会:8成消费者担忧关税将推高物价,美国全国零售商联合会会长：八成消费者担忧关税将推高物价新华社华盛顿12月3日电（记者熊茂伶）美国全国零售商联合会会长马修·谢伊3日表示，尽管美政府加征关税举措并未对刚刚过去的感恩节长周末消费产生明显影响，但近期调查显示，八成美国消费者对加征关税对消费品价格的潜在影响感到担忧。谢伊当天在一场媒体电话会上表示，从感恩节到“网络星期一”这五天的假日购物季，参与购物的美国消费者人数达近1.9亿人，比去年同期增长14%，人均消费支出361.9美元，比去年同期增长16%。目前来看，消费者一方面依然在活跃地购物，另一方面正对关税措施和可能的价格上涨感到担忧。他表示，如果美国政府落实原定于12月15日对中国输美产品加征的关税，将对大量消费品价格产生影响。谢伊还援引美国游说组织“关税伤害美国腹地”的数据称，截至目前，美国政府对从他国进口的产品加征关税已导致美国消费者额外支付了近400亿美元 。与此同时，零售商也在苦苦挣扎。谢伊表示，自去年以来，美国零售商已采取了一系列措施，试图在短期和长期内减轻负面影响。关税及其带来的不确定性给中小型独立零售商带来的打击更为严重，因为他们在规模、资源、基础设施等各方面都处于不利境地。谢伊表示，美国政府加征新的关税会有“真正的风险”，将给这些企业带来很大“逆风”，会拖累经济发展，推高失业率。他希望美中双方能够通过谈判化解分歧、解决贸易争端，认为积极的解决方案对于美国经济、美国消费者和美国工人而言是“最好的结果。”责任编辑：刘万里 SF014
第一上海：宇华教育给予买入评级 目标价6.88港元,全年业绩概览宇华教育截至2019年8月30日止年度，公司实现收入人民币17.14亿元，同比增长43.5%，毛利10.00亿元，同比增长49.1%；经调整公司股权持有人应占纯利7.93亿元，同比增长30.1%，较我们的预测及彭博一致预期高出10%及5%，其调整项主要为可转债公允价值变化、股权激励及新收购标的的资产重估带来的折旧摊销增加。全年股息达到0.13港元，约50%的派息率。整合能力出类拔萃，超预期再超预期管理层在2017年上市时投资人的一致预期为核心净利润每年增长25%。目前核心净利润年复合增长率约36%，远超预期。我们认为公司如此优秀的业绩主要在于强大的并购能力及整合能力，以湖南涉外经济学院为例，公司在接管后，学校管理迅速改善，对于本年利润贡献保守估计超过两个亿人民币，较2017年增长超200%，同时，新生报到率提升至95%以上、校友会民办大学排行榜的排名有较大程度回升。现金充裕支持并购，并购理念一以贯之公司管理层秉承一贯的重质不重量的收购理念，确保每个并购标的都能够给股东最大化的效益，管理层并未给出市场未来的的收购预期，但管理层表明目前也有比较多的项目储备，在手总现金约28亿元人民币，若考虑19/20学年的预收学费，现金水平将进一步增加。以对于湖南涉外及山东英才的过往收购来看，我们相信管理层能够在收购速度及质量上作出良好的权衡，对未来的收购持乐观态度。目标价6.88港元，维持买入评级山东英才学院已经被公司接管，公司展现出的强大整合能力，山东英才学院的教育教学及财务状况将得到进一步的升华，助推公司继续高速前行。我们以DCF模型测算现有学校价值为5.98港元（WACC=10%，永续增长3%），但是由于公司优异的并购能力和投后管理能力，且未来还会有陆续的并购，我们给出6.88港元目标价（15%的并购能力和潜力溢价），较昨日收市价有34%的上升空间，维持买入评级。责任编辑：李双双
Peloton健身自行车广告被指“性别歧视” 致股价大跌,新浪美股12月4日讯，互动健身平台Peloton的一则健身自行车圣诞广告在社交媒体上被广泛嘲笑为“性别歧视”、“脱离现实”，甚至是“反乌托邦”。这则广告在YouTube上的点击量已超过100万次。广告中，一名女子收到丈夫送的一辆健身自行车作为圣诞礼物。然后，她把接下来一年的锻炼记录在视频日志里，并把它作为一种感谢的方式呈现给他。“一年前，我没有意识到这会给我带来多大的改变，”她说。外界对该公司的这则广告批评如此之多，以至于影响了Peloton的股价，该股周二收跌逾9%。Peloton出售配有触摸屏的健身器材——健身自行车的价格超过2000美元，然后用户可以根据需求购买订阅健身课程。这家总部位于纽约的公司于11月21日发布了这则广告，但最近几天社交媒体上的批评之声明显增多。一些人抱怨说，一个男人送妻子一辆健身自行车作为圣诞礼物是性别歧视，因为这表明他想让妻子减肥。喜剧作家杰西·德韦克在推特上写道：“欣赏Peloton广告的唯一方式就是把它当作某一集《黑镜》的第一分钟。”到目前为止，该公司的Twitter账户还没有参与到这场争论中，但该公司已经关闭了YouTube上有关这则广告的评论。责任编辑：刘玄逸
